Time,Res_percent
7.109263,0.43301643
7.181295,0.5006758
7.251897,0.533438126
7.327079,0.538366862
7.403001,0.521704039
7.478656,0.497656477
7.555436,0.477397863
7.630149,0.463620227
7.701904,0.45358355
7.776454,0.452069133
7.848415,0.459597687
7.92006,0.470815018
7.987639,0.477396717
8.057385,0.475768219
8.128649,0.450073435
8.196065,0.398787705
8.27112,0.330583788
8.340453,0.260558348
8.409415,0.194311792
8.479263,0.141802798
8.549247,0.104537487
8.626598,0.08015019
8.701609,0.061344955
8.776689,0.045573411
8.848912,0.035242242
8.923148,0.044554695
8.992927,0.080010585
9.064931,0.143723871
9.138141,0.23292741
9.209614,0.339596546
9.283956,0.43373464
9.356629,0.498304985
9.433954,0.529030162
9.508637,0.531395119
9.583461,0.512133939
9.658214,0.487595827
9.728013,0.467362409
9.799296,0.45411966
9.867048,0.445671131
9.939555,0.445182423
10.013753,0.453746331
10.085856,0.466529184
10.156302,0.47568708
10.225935,0.476108147
10.29941,0.455668339
10.371122,0.408555584
10.447458,0.342406333
10.521923,0.2713586
10.593477,0.204089751
10.664483,0.148432474
10.737963,0.109049819
10.806316,0.083604334
10.876445,0.065279391
10.951573,0.050475977
11.027475,0.042610452
11.103911,0.054985051
11.176437,0.094045311
11.248729,0.161908889
11.317917,0.253749688
11.388079,0.35958936
11.457641,0.450235167
11.525196,0.510228776
11.592161,0.535285375
11.657745,0.53407093
11.727374,0.513209207
11.799959,0.488121474
11.873178,0.46788066
11.940401,0.454652144
12.010862,0.444102944
12.089746,0.436731238
12.162549,0.438922066
12.231991,0.446929485
12.306085,0.453391843
12.379742,0.453703732
12.454692,0.442719398
12.528054,0.406117134
12.600839,0.347778326
12.674202,0.281954118
12.743937,0.217362209
12.813381,0.159599546
12.88212,0.116573557
12.958706,0.088581829
13.030419,0.069230845
13.105049,0.054412538
13.175602,0.042103547
13.248364,0.043265538
13.320998,0.066858547
13.390198,0.117731177
13.461948,0.194737726
13.534922,0.295134035
13.613511,0.394871711
13.686793,0.471987155
13.756291,0.515746318
13.83079,0.528394408
13.904555,0.515373703
