Time,Res_percent
58.530201,2.174827746
58.596902,2.208348476
58.666514,2.201778504
58.730039,2.143881096
58.79204,2.019940444
58.850728,1.823910412
58.909552,1.615875523
58.969945,1.407021899
59.032973,1.184222007
59.102231,0.972777623
59.16759,0.773726048
59.2299,0.585879635
59.294084,0.426113096
59.356189,0.320568961
59.418067,0.288961731
59.482611,0.35152398
59.543696,0.502425625
59.609136,0.732132942
59.674873,1.027380034
59.743192,1.332010203
59.810527,1.624608807
59.881436,1.869914467
59.951534,2.064840262
60.01977,2.193867238
60.086871,2.281680811
60.154015,2.320748304
60.219307,2.332675483
60.285577,2.308897054
60.345951,2.259791715
60.413748,2.218401629
60.482242,2.179408814
60.5535,2.151493679
60.622891,2.147989772
60.691019,2.183605609
60.756056,2.173528347
60.82491,2.136660222
60.89249,2.093598666
60.960529,1.997667014
61.029118,1.823991241
61.097881,1.638902304
61.161505,1.447089231
61.232262,1.191480156
61.302374,0.948910499
61.37183,0.735360628
61.437468,0.551714409
61.502959,0.406686149
61.567171,0.352377216
61.629452,0.387520337
61.691962,0.504592658
61.753552,0.695970038
61.817227,0.945813568
61.878175,1.217389076
61.937588,1.450302077
61.99846,1.68883623
62.059006,1.892004697
62.121961,2.057094371
62.181678,2.183709344
62.243065,2.310235187
62.305237,2.342216781
62.365665,2.345047979
62.428967,2.319396383
62.488963,2.281789025
62.551667,2.20551275
62.612882,2.18180121
62.678261,2.170649283
62.740085,2.172802236
62.801342,2.197630411
62.862684,2.248963816
62.924691,2.267484473
62.984959,2.24799227
63.051607,2.209065656
63.11653,2.117478772
63.178732,1.968168069
63.242369,1.780276154
63.30427,1.583334337
63.366034,1.33894583
63.430326,1.078891732
63.499642,0.840299949
63.566062,0.636117302
63.630213,0.461770409
63.692906,0.356326208
63.755908,0.33074738
63.817047,0.415647147
63.878277,0.596691399
63.942794,0.848533518
64.005787,1.154237162
64.070964,1.491298226
64.136224,1.751357709
64.200125,1.953646213
64.262953,2.119399633
64.326085,2.238841456
64.386784,2.295097652
64.451053,2.341291949
64.512284,2.34849712
64.575313,2.319733408
64.634064,2.258494787
64.695525,2.181795134
64.75773,2.111959324
64.814907,2.069057385
64.872837,2.051474777
64.935254,2.066966046
65.001526,2.125374265
65.066728,2.185020815
65.132265,2.215696204
65.196627,2.197569185
65.258012,2.146948858
65.318793,2.018046139
65.381768,1.831779899
65.443023,1.633020581
65.504285,1.430769088
65.57071,1.184990059
65.634835,0.955905721
65.701034,0.756084384
65.7666,0.572846619
65.826909,0.42080158
65.889178,0.339745814
65.950172,0.32941944
66.010979,0.395698589
66.069149,0.53966448
66.131753,0.755203675
66.192896,1.017272513
66.253128,1.286246777
66.314052,1.530284341
66.378826,1.762650892
66.443253,1.952672133
66.502146,2.101048513
66.559899,2.223310437
66.624922,2.32311392
